mode,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,eer_mean,eer_std,threshold_mean,threshold_std,same_as_initial_wavlm_count
control,3,0.6696969696969697,0.04296196023866006,0.6519444444444444,0.05091068795595037,0.655671454628363,0.050968408671890314,0.8472222222222222,0.0375770812735241,0.45666666666666667,0.13868429375143146,0.7374704419439009,0.017662602251545933,0.7408888888888889,0.02386501148434978,0.3061111111111111,0.010584754935143159,0.8414895534515381,0.1481379511718789,0
robust,3,0.6333333333333333,0.01892423635878302,0.6102777777777778,0.0255132500071223,0.6185816025422767,0.024561017679536588,0.8638888888888889,0.048112522432468836,0.35666666666666663,0.09865765724632494,0.7198707656202064,0.002693939825231682,0.6755555555555556,0.026766555538028616,0.35444444444444445,0.025294560972960494,0.6437030732631683,0.29681079986399045,0
gate_only,3,0.6606060606060606,0.027773186030035403,0.6436111111111111,0.03510236353760133,0.6499497234791353,0.037568245026131944,0.8305555555555556,0.04589642122738419,0.45666666666666667,0.11590225767142472,0.7277168707313011,0.00577152073251685,0.7197361111111111,0.03240931079066517,0.30777777777777776,0.017206534073276207,0.7825860778490702,0.31224273174442274,0
channel_mix,3,0.6545454545454545,0.007872958216222189,0.6344444444444445,0.01131411769689792,0.6367871115822581,0.01260637390293969,0.8555555555555555,0.02678791878053602,0.41333333333333333,0.04932882862316245,0.7298243516490891,0.0018830703100529281,0.6863750000000001,0.008610797485328118,0.3530555555555555,0.014002314623476161,0.9349717100461324,0.06400059003922559,0
