mode,generator,metric,mean,std,prob_fake_mean,prob_fake_std
control,VoxPopuli,specificity,0.45666666666666667,0.13868429375143146,0.6794358630655188,0.01590784605304297
control,RVC,fake_recall,0.39999999999999997,0.08660254037844388,0.5886684747160568,0.020583677390455486
control,Qwen3-TTS,fake_recall,0.9166666666666666,0.05773502691896256,0.9405746841182311,0.011871635934023727
control,Fun-CosyVoice3,fake_recall,0.8,0.04999999999999999,0.882158952454726,0.011019344745677333
control,Confucius4-TTS,fake_recall,0.9833333333333333,0.028867513459481315,0.9917635291814804,0.00308791686713749
control,OpenVoice V2,fake_recall,0.9833333333333333,0.028867513459481315,0.9912191381057104,0.007961898354904899
control,VoxCPM2,fake_recall,1.0,0.0,0.990872718890508,0.00707605835263363
robust,VoxPopuli,specificity,0.35666666666666663,0.09865765724632494,0.6888670801062835,0.0953898318807001
robust,RVC,fake_recall,0.6,0.1322875655532295,0.6246672417153604,0.1161769603429274
robust,Qwen3-TTS,fake_recall,0.9,0.04999999999999999,0.8442982281247775,0.09179469389730094
robust,Fun-CosyVoice3,fake_recall,0.75,0.050000000000000044,0.7834767554576199,0.11585521065525634
robust,Confucius4-TTS,fake_recall,0.9833333333333333,0.028867513459481315,0.9410148531198501,0.04432890992671123
robust,OpenVoice V2,fake_recall,0.9833333333333333,0.028867513459481315,0.9091762999693552,0.06587474427886572
robust,VoxCPM2,fake_recall,0.9666666666666667,0.028867513459481315,0.9063050280014674,0.07484868014320314
gate_only,VoxPopuli,specificity,0.45666666666666667,0.11590225767142472,0.7156668328280891,0.10435403809762465
gate_only,RVC,fake_recall,0.45,0.1322875655532295,0.6505911269458011,0.1264543252202403
gate_only,Qwen3-TTS,fake_recall,0.85,0.04999999999999999,0.903984918196996,0.10477198888189655
gate_only,Fun-CosyVoice3,fake_recall,0.7333333333333333,0.028867513459481315,0.8559655210624139,0.12424930677089802
gate_only,Confucius4-TTS,fake_recall,0.9833333333333333,0.028867513459481315,0.9760871917009354,0.03594410384610325
gate_only,OpenVoice V2,fake_recall,0.9833333333333333,0.028867513459481315,0.9663950473070144,0.05233619136855684
gate_only,VoxCPM2,fake_recall,0.9833333333333333,0.028867513459481315,0.9629176358381907,0.05909568841248733
channel_mix,VoxPopuli,specificity,0.41333333333333333,0.04932882862316245,0.8012805271745795,0.022725007207302736
channel_mix,RVC,fake_recall,0.55,0.0,0.7268773158236097,0.029942881698155007
channel_mix,Qwen3-TTS,fake_recall,0.8666666666666667,0.028867513459481315,0.9615848203500112,0.019025720496889775
channel_mix,Fun-CosyVoice3,fake_recall,0.7833333333333333,0.028867513459481315,0.9185846427455544,0.023660773643294157
channel_mix,Confucius4-TTS,fake_recall,0.9833333333333333,0.028867513459481315,0.9940030574798584,0.0034290919331002373
channel_mix,OpenVoice V2,fake_recall,0.9833333333333333,0.028867513459481315,0.992260624965032,0.00673050104486772
channel_mix,VoxCPM2,fake_recall,0.9666666666666667,0.05773502691896256,0.9938022424777349,0.0037393133469029
