held_out_generator,best_epoch,threshold_val,acc_05,precision_05,recall_05,specificity_05,f1_05,auc_05,eer_05,acc_cal,precision_cal,recall_cal,specificity_cal,f1_cal,auc_cal,eer_cal
confucius4,2,0.6209192276000977,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
cosyvoice,1,0.20823481678962708,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9875,0.9705882352941176,1.0,0.9787234042553191,0.9850746268656716,1.0,0.0
knnvc,13,0.5319149494171143,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
openvoice,4,0.6617372035980225,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen,2,0.7153767347335815,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9875,1.0,0.9696969696969697,1.0,0.9846153846153847,1.0,0.0
rvc,5,0.8630711436271667,0.8875,1.0,0.7272727272727273,1.0,0.8421052631578948,0.988394584139265,0.08800773694390718,0.7375,1.0,0.36363636363636365,1.0,0.5333333333333333,0.988394584139265,0.08800773694390718
voxcpm2,4,0.04717812314629555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9625,0.9166666666666666,1.0,0.9361702127659575,0.9565217391304348,1.0,0.0
