held_out_speaker,n_seeds,seeds,n_test,n_test_real,n_test_fake,acc_05_mean,acc_05_std,precision_05_mean,precision_05_std,recall_05_mean,recall_05_std,specificity_05_mean,specificity_05_std,f1_05_mean,f1_05_std,auc_05_mean,auc_05_std,eer_05_mean,eer_05_std,acc_cal_mean,acc_cal_std,precision_cal_mean,precision_cal_std,recall_cal_mean,recall_cal_std,specificity_cal_mean,specificity_cal_std,f1_cal_mean,f1_cal_std,auc_cal_mean,auc_cal_std,eer_cal_mean,eer_cal_std,threshold_val_mean,threshold_val_std
gonzalo,3,"42,123,2026",59,9,50,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7334798177083334,0.37504452864865145
mario,3,"42,123,2026",36,3,33,0.9166666666666666,0.0,0.9166666666666666,0.0,1.0,0.0,0.0,0.0,0.9565217391304348,0.0,1.0,0.0,0.0,0.0,0.9629629629629629,0.016037507477489613,0.9613445378151261,0.016010553683409798,1.0,0.0,0.5555555555555556,0.19245008972987523,0.9802458296751536,0.008363722073423004,1.0,0.0,0.0,0.0,0.9026692708333334,0.026105167533114322
marta,3,"42,123,2026",38,9,29,0.9912280701754386,0.015193428136569083,0.9888888888888889,0.01924500897298752,1.0,0.0,0.9629629629629629,0.06415002990995845,0.9943502824858756,0.009785597782875051,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8264973958333334,0.15315564945240454
noelia,3,"42,123,2026",53,9,44,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7643229166666666,0.260041437025987
rober,3,"42,123,2026",52,9,43,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9935897435897436,0.011102889792108212,1.0,0.0,0.9922480620155039,0.01342675044627039,1.0,0.0,0.996078431372549,0.006792356108113284,1.0,0.0,0.0,0.0,0.8601888020833334,0.21848844604438686
samu,3,"42,123,2026",40,8,32,0.9916666666666667,0.014433756729740658,0.98989898989899,0.017495462702715917,1.0,0.0,0.9583333333333334,0.07216878364870322,0.9948717948717949,0.00888231183368652,1.0,0.0,0.0,0.0,0.9833333333333333,0.014433756729740658,1.0,0.0,0.9791666666666666,0.018042195912175804,1.0,0.0,0.9894179894179894,0.009164289987136948,1.0,0.0,0.0,0.0,0.8020833333333334,0.17002941251141776
