held_out_generator,best_epoch,best_stage,threshold_val,acc_05,precision_05,recall_05,specificity_05,f1_05,auc_05,eer_05,acc_cal,precision_cal,recall_cal,specificity_cal,f1_cal,auc_cal,eer_cal
confucius4,5,finetune,0.98388671875,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
cosyvoice,1,head,0.58984375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
knnvc,3,finetune,0.66455078125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
openvoice,5,finetune,0.97021484375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
qwen,3,finetune,0.9677734375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
rvc,1,head,0.94482421875,0.9875,0.9705882352941176,1.0,0.9787234042553191,0.9850746268656716,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
voxcpm2,6,finetune,0.869140625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
