generator,true_label,n,correct,errors,accuracy,primary_metric,primary_value,prob_fake_mean,prob_fake_median,prob_fake_min,prob_fake_max
VoxPopuli,0,100,35,65,0.35,specificity,0.35,0.7704435321371088,0.9837707281112671,2.1144733963751605e-08,0.9998977184295654
RVC,1,20,12,8,0.6,fake_recall,0.6,0.7970567860407755,0.9386440813541412,0.0038996203802525997,0.9943360686302185
Qwen3-TTS,1,20,17,3,0.85,fake_recall,0.85,0.8473443851515186,0.9962188601493835,0.0014214044203981757,0.9998859167098999
Fun-CosyVoice3,1,20,16,4,0.8,fake_recall,0.8,0.9140210777521134,0.9877326488494873,0.16465073823928833,0.9996229410171509
Confucius4-TTS,1,20,20,0,1.0,fake_recall,1.0,0.987496867775917,0.9969123005867004,0.9132132530212402,0.9999589920043945
OpenVoice V2,1,20,20,0,1.0,fake_recall,1.0,0.9883058279752731,0.9978186786174774,0.9269675612449646,0.999906063079834
VoxCPM2,1,20,15,5,0.75,fake_recall,0.75,0.8198738696883083,0.984984278678894,0.00020502213737927377,0.9999755620956421
