seed,threshold,checkpoint,checkpoint_sha256,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,fnr,tp,tn,fp,fn,roc_auc,eer,eer_threshold
42,0.8365545868873596,C:\Users\gonza\TFG\Deepfake-Detection\experiments\wavlm_domain_adapt_real\seed_42\best_model.pt,6729759aa3821983cdc74b2b68f087d3ee80996198f3c45d7c53052f38235bc7,0.6590909090909091,0.65,0.6666666666666666,0.75,0.55,0.7058823529411765,0.45,0.25,90,55,45,30,0.7185416666666666,0.33166666666666667,0.9287972450256348
123,0.5969619154930115,C:\Users\gonza\TFG\Deepfake-Detection\experiments\wavlm_domain_adapt_real\seed_123\best_model.pt,1eeb3c5e308aa33b092472286f1e6bd04f7402ee72b002ee0982ce248c326c6d,0.6681818181818182,0.6575,0.6690647482014388,0.775,0.54,0.7181467181467182,0.46,0.225,93,54,46,27,0.7229583333333334,0.33166666666666667,0.8531803488731384
2026,0.8500956892967224,C:\Users\gonza\TFG\Deepfake-Detection\experiments\wavlm_domain_adapt_real\seed_2026\best_model.pt,d1f450af43a49f41e787e20e71e4ba77876a5d1dce92004fcbccae11cd87a712,0.6909090909090909,0.675,0.6710526315789473,0.85,0.5,0.7499999999999999,0.5,0.15,102,50,50,18,0.7290416666666667,0.33166666666666667,0.9613164663314819
