generator,metric,mean,std,prob_fake_mean,prob_fake_std
VoxPopuli,specificity,0.53,0.02645751311064593,0.5725231262858143,0.08611246930634434
RVC,fake_recall,0.3833333333333333,0.10408329997330665,0.49527222463681636,0.09294075032474591
Qwen3-TTS,fake_recall,0.8666666666666667,0.05773502691896256,0.9027731458346049,0.031886757633467135
Fun-CosyVoice3,fake_recall,0.7333333333333334,0.07637626158259735,0.7979875189795469,0.052389169581708174
Confucius4-TTS,fake_recall,0.9,0.08660254037844388,0.94209430317084,0.04471579817103937
OpenVoice V2,fake_recall,0.9833333333333333,0.028867513459481315,0.9547658065954844,0.036639042810455845
VoxCPM2,fake_recall,0.8833333333333333,0.05773502691896256,0.93146311044693,0.040783303471571275
