held_out_generator,n_seeds,seeds,acc_05_mean,acc_05_std,precision_05_mean,precision_05_std,recall_05_mean,recall_05_std,specificity_05_mean,specificity_05_std,f1_05_mean,f1_05_std,auc_05_mean,auc_05_std,eer_05_mean,eer_05_std,acc_cal_mean,acc_cal_std,precision_cal_mean,precision_cal_std,recall_cal_mean,recall_cal_std,specificity_cal_mean,specificity_cal_std,f1_cal_mean,f1_cal_std,auc_cal_mean,auc_cal_std,eer_cal_mean,eer_cal_std,threshold_val_mean,threshold_val_std
confucius4,3,"42,123,2026",0.9708333333333333,0.03145764348029479,0.937092731829574,0.06597860390699772,1.0,0.0,0.950354609929078,0.053544925072842225,0.9667219000276167,0.03537011136101071,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9186197916666666,0.10856583417136602
cosyvoice,3,"42,123,2026",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.88134765625,0.12150552939560427
knnvc,3,"42,123,2026",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.61962890625,0.3300467030393332
openvoice,3,"42,123,2026",1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7333984375,0.21084649277380604
qwen,3,"42,123,2026",0.9916666666666667,0.014433756729740658,0.9809523809523809,0.03299144395369291,1.0,0.0,0.9858156028368794,0.024568096561260643,0.9901960784313726,0.016980890270283114,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9383138020833334,0.08217692685500205
rvc,3,"42,123,2026",0.9916666666666667,0.014433756729740658,0.9809523809523809,0.03299144395369291,1.0,0.0,0.9858156028368794,0.024568096561260643,0.9901960784313726,0.016980890270283114,1.0,0.0,0.0,0.0,0.9958333333333333,0.007216878364870297,0.9901960784313726,0.016980890270283114,1.0,0.0,0.9929078014184397,0.012284048280630353,0.9950248756218906,0.008617168196860111,1.0,0.0,0.0,0.0,0.7789713541666666,0.19804866471444374
voxcpm2,3,"42,123,2026",0.9875,0.021650635094610952,0.9722222222222222,0.048112522432468836,1.0,0.0,0.9787234042553191,0.036852144841891,0.9855072463768116,0.025102185616940234,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9485677083333334,0.02758825071206741
