generator,true_label,n,correct,errors,accuracy,primary_metric,primary_value,prob_fake_mean,prob_fake_median,prob_fake_min,prob_fake_max
VoxPopuli,0,100,47,53,0.47,specificity,0.47,0.5049195354020987,0.6381163597106934,6.434357260332035e-07,0.9990271329879761
RVC,1,20,13,7,0.65,fake_recall,0.65,0.5232997885905206,0.6524056196212769,0.024111906066536903,0.9251595735549927
Qwen3-TTS,1,20,12,8,0.6,fake_recall,0.6,0.6112408603687072,0.8293202519416809,0.00039896677481010556,0.993362545967102
Fun-CosyVoice3,1,20,12,8,0.6,fake_recall,0.6,0.5892555170459672,0.6299639344215393,0.0028535095043480396,0.995296061038971
Confucius4-TTS,1,20,13,7,0.65,fake_recall,0.65,0.684580110758543,0.8795157074928284,0.09517954289913177,0.9975419044494629
OpenVoice V2,1,20,18,2,0.9,fake_recall,0.9,0.8083788193762302,0.9275294244289398,0.19316743314266205,0.9948680400848389
VoxCPM2,1,20,13,7,0.65,fake_recall,0.65,0.5706513344019186,0.7458359599113464,0.000988726387731731,0.9866896867752075
